Car Make,model_NAME,YEAR ,price($),Mileage(km) ,colour/Color, fuel_Type,No. of Owners
VW,Sentra,,null,,White,Diesel,1.0
VW,Camry,07,NA,169487,red,gasoline,two
NULL,N/A,2009.0,null,327843,silver,DIESEL,5 owners
Toyota,mustang,2020.0,63536 USD,134669 km,blue,electric,5.0
Silverado,Audi,NA,"$77,650",,blue,electric,N/A
Honda,silverado,2018.0,"$17,442",146436KM,?,Unknown,#N/A
Hyundai,Elantra,95,68155.00,95741,SILVER,Unknown,two
ford,silverado,'17,n/a,unknown,red,Hybrid,3.0
BMW,Elantra,15,79k,"101,382",white,EV,
ford,Corolla,2011 model,negotiable,unknown,SILVER,DIESEL,
Honda,Mustang,2006.0,$85920,  266245  ,Silver,hybrid,3
Ford,  Altima  ,1996 model,17397,,silver,hybrid,N/A
Honda,3 Series,2012.0,negotiable,130390KM,Black,HYBRID,1st
Nissan,Accord,,negotiable,,SILVER,Diesel,3 owners
  AUDI  ,3series,06,,178343 km,NA,EV,-
ford,Camry,'08,33939.0,6768.8 miles,unknown,plug-in hybrid,4.0
B.M.W,silverado,  1998  ,14664 USD,165351.8 miles,gray,,N/A
ford,Corolla,2012 model,10573 USD,144750.0,  N/A  ,DIESEL,1.0
chevy,Altima,1997 model,"$11,307",NULL,RED,Unknown,four
Mustang,nissan,21,N/A,-,#N/A,Hybrid,-
volkswagen,Civic,,negotiable,"81,092",unknown,EV,
AUDI,Accord,2019 model,88309.0,287299 km,,HYBRID,1 owner
Audi,silverado,2023.0,"$53,666",286461.0,,Diesel,3rd
Audi,Altima,null,24722,336033KM,Silver,petrol,  5.0  
Nissan,Civic,'97,40068.00,,  white  ,electric,2nd
bmw,A4,2006 model,negotiable,"5,468",-,Hybrid,N/A
null,Corolla,'21,$28317,66644 km,Green,petrol,four
Honda,F 150,'12,"$62,559",105198KM,  ?  ,NA,
Chevrolet,3 Series,'92,20807,-,NULL,diesel,1st
ford,Golf,'24,null,"117,356",blue,Electric,2 owners
Nissan,f150,23,28989 USD,,White,Diesel,5.0
Volkswagen,Elantra,2001 model,"$60,062",12496KM,  White  ,Hybrid,N/A
Toyota,Camry,1993 model,"$45,451",29308.9 miles,Silver,EV,2 owners
civic,Honda,97,,76884.0,Gray,Gasoline,1.0
  Nissan  ,f150,1997 model,$89674,,?,electric,
nissan,Accord,nineteen ninety five,"$37,761",344296,Gray,PETROL,N/A
TOYOTA,Golf,,"$89,323",167045 km,Green,,one
Ford,Sentra,,$9361,72726,White,PETROL,2.0
bmw,Mustang,99,"$73,040",,White,Gasoline,1st
chevy,  camry  ,two thousand and five,12479 USD,233796 km,Red,PETROL,
  Nissan  ,Golf,2019,N/A,,blue,Hybrid,NULL
VW,Elantra,2017,$22948,,,n/a,N/A
ford,3 Series,20,10273.00,,Gray,EV,N/A
B.M.W,A4,,"$4,542",,null,Gasoline,4
silverado,  VW  ,two thousand,37750.00,167790 km,gray,electric,5 owners
Nissan,silverado,'00,79k,,Silver,Gasoline,  N/A  
HONDA,Accord,1992,"$69,070","29,286",blue,plug-in hybrid,1
  NA  ,civic,2005,9407.00,338039.0,,,  1  
B.M.W,n/a,,"$2,937",unknown,RED,EV,five
  bmw  ,  F 150  ,,7460 USD,203136KM,Blue,Diesel,2nd
Chevrolet,,two thousand and five,80880.00,86642 km,gray,plug-in hybrid,
  nissan  ,Camry,NULL,6586.00,62954 km,black,gasoline,  N/A  
nissan,Golf,n/a,24k,6956KM,N/A,petrol,N/A
chevy,Golf,two thousand,N/A,,silver,EV,5.0
BMW,camry,2011 model,"$68,368","327,712",blue,electric,5th
chevy,silverado,2015.0,,344400 km,-,diesel,five
Toyota,Camry,n/a,negotiable,108573 km,BLUE,PETROL,1.0
Ford,Elantra,'12,$91764,257062.0,  Red  ,Hybrid,1 owner
Toyota,Silverado,,11057 USD,unknown,BLUE,  HYBRID  ,3rd
BMW,  3series  ,,negotiable,59524.5 miles,white,electric,N/A
Honda,Elantra,'17,,21236.8 miles,RED,DIESEL,three
Toyota,3 Series,twenty twenty,68872,6378KM,Blue,Unknown,3rd
TOYOTA,#N/A,,#N/A,unknown,Grey,EV,2
TOYOTA,Elantra,,56698,,green,PETROL,2 owners
Audi,f150,twenty twenty,$46181,47703KM,gray,electric,N/A
ford,mustang,02,negotiable,"189,523",green,,3
Nissan,silverado,  null  ,2428.0,34889KM,White,DIESEL,
Ford,Elantra,2003,N/A,346185KM,N/A,petrol,1 owner
Honda,A4,n/a,14541 USD,"129,076",  Grey  ,diesel,two
VW,Elantra,twenty ten,negotiable,104948.4 miles,Red,plug-in hybrid,5 owners
Toyota,  3series  ,2012 model,  negotiable  ,unknown,Red,plug-in hybrid,4
volkswagen,camry,2006.0,"$12,388",,Black,  HYBRID  ,2 owners
AUDI,Corolla,,negotiable,,BLUE,,N/A
AUDI,null,2007 model,62608.00,"128,864",Gray,Gas,N/A
nissan,F 150,two thousand and five,NULL,66186 km,null,Diesel,
Honda,A4,  15  ,,NULL,silver,Diesel,four
HONDA,null,2000,3449,33008.7 miles,blue,,N/A
ford,3series,  n/a  ,N/A,230614 km,?,DIESEL,
TOYOTA,civic,,N/A,,Blue,PETROL,4th
Toyota,Elantra,2020 model,,172047,Green,Electric,
B.M.W,#N/A,'20,,"34,771",Silver,petrol,4.0
TOYOTA,  n/a  ,,"$21,666",283309,Grey,plug-in hybrid,1
BMW,3series,,16095.0,140158 km,N/A,Electric,5th
Nissan,Elantra,'05,"$42,543","349,309",Silver,Diesel,2
bmw,A4,1992,49737,82067,SILVER,  Diesel  ,3rd
Elantra,Honda,95,65818.0,175403.0,blue,petrol,2 owners
,Altima,twenty ten,  59008  ,20670KM,Gray,,3 owners
Honda,Camry,'23,32044,unknown,white,HYBRID,2
B.M.W,3series,N/A,,285770 km,?,Diesel,1 owner
TOYOTA,f150,1997,  negotiable  ,,RED,DIESEL,2
TOYOTA,Corolla,00,negotiable,,BLUE,Unknown,5
Hyundai,3series,'10,86217.00,193394,White,petrol,
Chevrolet,n/a,,,166234KM,white,Electric,  5  
HONDA,Accord,2001,$14199,72050KM,Green,Gasoline,3rd
Nissan,camry,NULL,#N/A,"48,741",,electric,3
ford,F 150,two thousand,negotiable,132916.1 miles,  Red  ,Unknown,3
  Honda  ,f150,2001 model,85993,189057.8 miles,Blue,diesel,two
nissan,3series,23,,,Gray,Diesel,two
HONDA,Mustang,twenty ten,N/A,7218KM,gray,Unknown,N/A
Honda,  F-150  ,2007,88283 USD,270784 km,black,Hybrid,  one  
bmw,F 150,96,,,Black,DIESEL,5
bmw,Golf,,"$72,120",23657.6 miles,Blue,,N/A
B.M.W,  camry  ,,negotiable,90285.9 miles,  green  ,Gas,1st
BMW,civic,NA,  negotiable  ,102684,White,Diesel,N/A
BMW,Civic,1994 model,"$22,150",217607KM,Blue,hybrid,N/A
Honda,Sentra,,4625.0,102901.0,SILVER,Electric,4
toyota,Silverado,2024.0,NULL,126612 km,green,,1 owner
Honda,Accord,  1991  ,N/A,"6,044",Red,Petrol,1st
HONDA,  mustang  ,  2006 model  ,22876 USD,44585.0,green,gasoline,5 owners
Volkswagen,Mustang,'23,"$21,655",212432KM,SILVER,  Gasoline  ,
AUDI,Silverado,2001,,33824KM,red,DIESEL,1st
B.M.W,f150,twenty twenty,20k,unknown,unknown,Electric,2 owners
  HONDA  ,,two thousand,54k,74644.5 miles,,EV,3rd
Honda,Accord,1998.0,63037,319865KM,red,electric,one
toyota,Sentra,02,"$33,600",unknown,RED,Diesel,N/A
Toyota,F 150,,,15413 km,  N/A  ,Gasoline,
bmw,3series,2013.0,81920 USD,181294 km,blue,petrol,1st
  Hyundai  ,Mustang,#N/A,46k,"219,293",  RED  ,  PETROL  ,
bmw,camry,2023,28631,unknown,SILVER,Hybrid,five
bmw,Silverado,nineteen ninety five,40063.0,  21150.0  ,Blue,diesel,NA
Audi,Corolla,2008.0,39455 USD,"300,987",BLUE,Petrol,4.0
volkswagen,3 Series,nineteen ninety five,85k,298194,white,gasoline,3rd
volkswagen,A4,1999,  negotiable  ,"335,669",Blue,  HYBRID  ,N/A
nissan,  F-150  ,1999,93113.0,"296,887",unknown,hybrid,3.0
Volkswagen,Accord,,17753.00,132084KM,White,-,4th
AUDI,Accord,two thousand and five,$8280,34719KM,SILVER,Unknown,N/A
Nissan,  F 150  ,two thousand,N/A,73259,SILVER,N/A,
Hyundai,civic,N/A,,N/A,,Gas,2.0
Hyundai,Corolla,,40892 USD,,Black,petrol,2
Volkswagen,F 150,,11853 USD,"7,347",BLUE,PETROL,4
volkswagen,Accord,  '16  ,5821 USD,unknown,white,HYBRID,1.0
Chevrolet,F 150,twenty ten,$53558,345796KM,silver,Petrol,3.0
Toyota,F 150,'98,6952 USD,173477KM,red,diesel,
BMW,civic,two thousand,54645,234660.0,SILVER,plug-in hybrid,2 owners
toyota,silverado,2010 model,91333.00,,Red,Hybrid,2
BMW,Silverado,2015.0,62383 USD,311214KM,SILVER,Diesel,two
  volkswagen  ,Accord,20,,111879.4 miles,SILVER,Gas,  5th  
Chevrolet,A4,2008 model,36302 USD,117548 km,Red,Diesel,N/A
Chevrolet,Civic,'96,n/a,90969 km,silver,Diesel,four
volkswagen,camry,98,64654.0,,Black,#N/A,2.0
Honda,silverado,2011.0,"$79,112","221,230",silver,electric,5 owners
Ford,Accord,'10,11075,67888.1 miles,Red,electric,N/A
HONDA,Elantra,1999.0,2k,42274.1 miles,silver,Unknown,NA
VW,F 150,03,  negotiable  ,unknown,silver,Petrol,
Hyundai,3series,2005 model,negotiable,205780 km,red,,N/A
BMW,F-150,17,44854.0,"344,586",N/A,PETROL,three
Toyota,Altima,2011 model,N/A,"133,114",N/A,plug-in hybrid,5.0
Volkswagen,civic,,N/A,unknown,,Gasoline,N/A
chevy,Silverado,2012,26203,77159.1 miles,  ?  ,,4
Audi,F 150,null,89k,7829.7 miles,RED,Electric,2
,  camry  ,'97,$81408,"46,785",Blue,Gasoline,four
Silverado,HONDA,1996.0,21612,unknown,BLUE,Gasoline,N/A
Civic,Toyota,  12  ,negotiable,305900 km,gray,Petrol,one
B.M.W,NA,  2021 model  ,$38428,unknown,  BLUE  ,petrol,  4.0  
chevy,3series,,75k,335459 km,Gray,EV,4 owners
toyota,Civic,'91,56k,  290373 km  ,white,Gasoline,4.0
B.M.W,  Accord  ,'95,  null  ,93753.9 miles,silver,Unknown,3rd
Nissan,F 150,2018,,229362 km,SILVER,hybrid,
Honda,camry,,  87865.0  ,137727 km,NA,diesel,5th
Nissan,Sentra,'23,66595 USD,334957.0,white,PETROL,N/A
Volkswagen,Altima,  2008  ,78k,NULL,Blue,HYBRID,1.0
TOYOTA,civic,-,negotiable,"322,546",N/A,Unknown,
Volkswagen,civic,18,68433,195978,Gray,Petrol,5 owners
nissan,silverado,2022.0,21718,,SILVER,-,one
Audi,3series,,40384 USD,unknown,red,hybrid,3.0
null,f150,'90,67867.0,186993.8 miles,white,DIESEL,
chevy,Sentra,'00,,213584,Blue,diesel,2 owners
bmw,mustang,'07,negotiable,297386 km,-,Hybrid,1st
AUDI,F 150,twenty twenty,84128 USD,122691.7 miles,Black,,N/A
toyota,A4,2013,negotiable,200010 km,red,  EV  ,1.0
Audi,mustang,1998,41k,unknown,N/A,DIESEL,  2.0  
Hyundai,mustang,  10  ,30931.00,,Green,Petrol,null
ford,,'01,"$61,234",,gray,plug-in hybrid,
Toyota,F-150,two thousand,79176.00,270674 km,SILVER,plug-in hybrid,four
VW,Accord,2004,  negotiable  ,,N/A,Hybrid,5th
chevy,mustang,19,46373.00,"76,358",White,PETROL,N/A
bmw,silverado,2024 model,51742,#N/A,RED,plug-in hybrid,3rd
toyota,F-150,2022.0,11060.0,207795 km,Gray,  plug-in hybrid  ,-
Chevrolet,civic,1997 model,21k,unknown,Gray,Unknown,5th
TOYOTA,Sentra,24,51982.0,82319.5 miles,BLUE,DIESEL,
-,Civic,  00  ,21097.00,"63,505",red,Gasoline,1
  B.M.W  ,silverado,nineteen ninety five,negotiable,340722KM,white,  PETROL  ,5.0
Honda,  Accord  ,'14,,unknown,Silver,Petrol,1.0
Honda,Sentra,,7499.0,$35681,unknown,Petrol,3.0
VW,Sentra,1994.0,negotiable,,  silver  ,hybrid,
volkswagen,Camry,two thousand and five,$20245,38188.0,Gray,EV,3.0
VW,Accord,2022 model,N/A,  39032KM  ,null,petrol,three
Chevrolet,Elantra,2007.0,negotiable,"240,835",,Diesel,
volkswagen,3 Series,1990 model,65107,34556 km,red,EV,5
toyota,Golf,'94,58k,311242 km,Silver,Petrol,
TOYOTA,#N/A,2022,20514.00,248583 km,White,n/a,5
Honda,  silverado  ,two thousand,7k,225059KM,Gray,Diesel,
chevy,Golf,11,48194 USD,"41,975",silver,Hybrid,N/A
#N/A,f150,2011 model,"$40,657","233,405",,Hybrid,  N/A  
nissan,camry,n/a,NULL,58192KM,Silver,Diesel,  2.0  
Nissan,mustang,2003.0,N/A,"6,398",-,Gasoline,1
Audi,,1999,,189449.0,SILVER,-,
ford,Civic,2002,76747,N/A,black,EV,NA
f150,Audi,2004,31009,-,  Silver  ,Gasoline,N/A
Hyundai,NA,24,61132 USD,unknown,N/A,Gas,1 owner
B.M.W,silverado,1990 model,25715 USD,"99,114",Grey,Gas,1
VW,F 150,,N/A,181174.6 miles,Green,petrol,1.0
BMW,A4,two thousand and five,2159.0,,BLUE,,N/A
AUDI,  Civic  ,1990,90228.00,66339,?,  Petrol  ,2 owners
bmw,Camry,'93,,  unknown  ,white,HYBRID,
Volkswagen,Civic,1997,5823 USD,unknown,white,,3.0
Nissan,  f150  ,1995,76k,268511KM,SILVER,EV,3rd
Ford,Corolla,,N/A,,NULL,hybrid,2 owners
AUDI,  Altima  ,,36559.00,"115,659",White,-,N/A
VW,3series,1991 model,51002 USD,140024KM,silver,HYBRID,4.0
,3series,94,N/A,109377KM,Black,gasoline,1 owner
B.M.W,Camry,n/a,38k,"71,674",white,EV,5.0
Toyota,Camry,24,"$86,622",63953 km,gray,Unknown,  3  
VW,Civic,2000 model,"$86,948",8248.6 miles,Green,n/a,3.0
Volkswagen,camry,1992,5k,"79,682",  gray  ,Gas,2 owners
chevy,3 Series,1999 model,"$69,908",204873.0,BLUE,Petrol,5th
VW,  civic  ,  NULL  ,N/A,,white,hybrid,4
volkswagen,civic,two thousand and five,,46997.0,gray,hybrid,three
Audi,null,01,25414 USD,,SILVER,petrol,
volkswagen,  mustang  ,n/a,$87616,183023.0 miles,Silver,gasoline,1st
  nissan  ,Mustang,'94,12k,296865,,  electric  ,
AUDI,A4,1996,19819.00,215590.4 miles,RED,-,3rd
Hyundai,Accord,2023.0,72092.00,  202558.7 miles  ,null,,N/A
Toyota,3 Series,'21,51563,142757,black,HYBRID,3
Chevrolet,camry,'91,55307.00,128064,silver,electric,
chevy,F-150,'00,71k,52494.1 miles,Gray,hybrid,2
  Honda  ,Corolla,09,82k,63602KM,SILVER,diesel,
volkswagen,Silverado,,15075 USD,130640.0,BLUE,  Gasoline  ,  one  
#N/A,Mustang,17,41896 USD,  200016  ,RED,gasoline,5th
Audi,Sentra,03,11k,,silver,,3.0
nissan,Civic,#N/A,4453.0,unknown,white,HYBRID,5th
HONDA,Civic,2010,"  $9,660  ","  81,351  ",white,,3rd
Ford,Civic,2003.0,,120440.0,Red,null,2.0
BMW,civic,2006.0,"$65,915",89457,white,Petrol,NULL
volkswagen,Golf,,64k,unknown,?,plug-in hybrid,3
toyota,Altima,two thousand,N/A,206675.0,,Electric,three
TOYOTA,Golf,93,N/A,152750 km,red,diesel,
HONDA,f150,1999 model,-,unknown,  BLUE  ,Hybrid,3rd
Toyota,3 Series,,negotiable,183165.0,RED,electric,2 owners
Nissan,3 Series,2024 model,N/A,"74,323",unknown,#N/A,one
BMW,camry,nineteen ninety five,51411.0,,-,DIESEL,5
  Volkswagen  ,F-150,twenty ten,,80558KM,Grey,,4
Volkswagen,  A4  ,2005.0,,  273039KM  ,Silver,Hybrid,4th
Ford,mustang,,68988 USD,297980.0,  Blue  ,PETROL,four
Toyota,,90,47591.0,unknown,BLUE,,three
toyota,camry,,,173996.3 miles,Grey,Gas,4th
volkswagen,3series,two thousand and five,$54120,238485,Blue,diesel,4
Toyota,3series,,N/A,"202,187",Blue,petrol,4
B.M.W,silverado,2009 model,"$47,867",unknown,gray,Gas,1.0
Toyota,Golf,2009.0,negotiable,"303,736",unknown,Petrol,
TOYOTA,Silverado,'02,81726.00,264276KM,black,Gasoline,4th
F-150,BMW,'92,,  208913KM  ,blue,HYBRID,
volkswagen,silverado,two thousand and five,,  NA  ,#N/A,DIESEL,1
volkswagen,Mustang,'02,  59445 USD  ,283829,,Electric,
Honda,f150,twenty ten,N/A,"  253,728  ",Black,electric,4 owners
HONDA,Golf,1991.0,35897.0,261569KM,black,plug-in hybrid,N/A
Toyota,civic,2015 model,negotiable,214541.3 miles,BLUE,PETROL,1st
Chevrolet,,nineteen ninety five,negotiable,263379 km,Silver,plug-in hybrid,3
Hyundai,F-150,2012.0,78k,  97845.2 miles  ,N/A,HYBRID,2
volkswagen,Corolla,2012,24k,unknown,green,plug-in hybrid,two
Nissan,A4,,,  232098 km  ,  SILVER  ,  Gas  ,5 owners
Chevrolet,A4,04,$77686,8892 km,green,diesel,
chevy,A4,nineteen ninety five,85245 USD,299376,  silver  ,Unknown,two
HONDA,Mustang,,-,unknown,White,hybrid,
Sentra,Toyota,2000.0,#N/A,unknown,Gray,NULL,3.0
B.M.W,silverado,1998.0,$77170,154552.5 miles,black,gasoline,N/A
bmw,3series,,,143330.0 miles,RED,Diesel,three
B.M.W,Altima,  N/A  ,,97484KM,silver,EV,N/A
Honda,  Mustang  ,twenty ten,N/A,134317.0 miles,RED,petrol,-
Honda,Mustang,2019.0,17212.00,277279,N/A,diesel,
Chevrolet,3 Series,97,negotiable,124324 km,Silver,,4.0
TOYOTA,Silverado,n/a,28941.00,178686.8 miles,gray,HYBRID,3.0
toyota,Mustang,1994,NULL,89331.0,white,PETROL,5.0
f150,ford,07,,244116KM,Red,,4th
toyota,Civic,09,52144,275691.0,Grey,  #N/A  ,4
AUDI,Accord,1991.0,9855 USD,50216,gray,diesel,2
Honda,Accord,07,55413.0,58654 km,gray,Gasoline,5.0
TOYOTA,f150,91,,142395,black,HYBRID,four
chevy,F-150,2014 model,$6856,,Blue,Gasoline,
bmw,Golf,2014.0,negotiable,5070KM,Green,Unknown,3
bmw,3series,1998.0,27871.0,unknown,white,DIESEL,5 owners
Chevrolet,Camry,  twenty twenty  ,,644.5 miles,-,Petrol,1st
ford,,1998 model,91851.0,259245.0,White,HYBRID,N/A
Volkswagen,Mustang,'04,$34642,  227835 km  ,Blue,Gasoline,
B.M.W,Mustang,twenty twenty,55885 USD,$23255,,electric,4 owners
AUDI,  mustang  ,1990.0,21567.0,205039 km,blue,petrol,5.0
Chevrolet,F-150,1997.0,NULL,219505,RED,Gas,3 owners
Audi,Elantra,two thousand and five,47986,46961.0,blue,Petrol,N/A
Toyota,F-150,1995 model,45633.00,124045KM,  Red  ,EV,4.0
Nissan,3 Series,'15,,68168.0,Black,PETROL,
ford,f150,2005.0,,unknown,White,Electric,
Ford,F-150,21,  negotiable  ,178141.1 miles,green,PETROL,5
Ford,F-150,null,-,47766 km,BLUE,EV,3rd
Audi,Sentra,93,12k,46905.0,Black,petrol,1st
toyota,,,14913.0,,?,Electric,4th
Hyundai,Sentra,'93,31713,245339 km,Blue,hybrid,1st
Toyota,N/A,,  N/A  ,7824.0,,,3rd
Nissan,silverado,'12,negotiable,,SILVER,  plug-in hybrid  ,1
bmw,Civic,2013.0,8084.00,340146 km,,,
TOYOTA,3series,2020 model,49805.00,179231.8 miles,,Electric,N/A
Chevrolet,A4,nineteen ninety five,negotiable,  176664.0  ,#N/A,Gasoline,2 owners
chevy,Mustang,2017,negotiable,245662 km,blue,petrol,3
HONDA,Corolla,2009,"$67,962","170,035",Gray,Gas,4 owners
bmw,Accord,2003.0,73891 USD,,gray,  hybrid  ,two
Volkswagen,Sentra,1999.0,64162 USD,104865.0,  N/A  ,NULL,1.0
ford,F 150,20,29532,"210,995",blue,HYBRID,two
N/A,  Altima  ,nineteen ninety five,6244.00,"196,501",  n/a  ,Gasoline,four
Nissan,Civic,2018.0,  7156 USD  ,111580.5 miles,,Petrol,one
Chevrolet,  Mustang  ,1993,22483 USD,113978.9 miles,unknown,,N/A
nissan,Golf,two thousand and five,N/A,107896.8 miles,-,HYBRID,
Audi,F 150,NA,23745.00,97607,RED,EV,3 owners
B.M.W,  Accord  ,twenty twenty,45065.0,17506KM,white,Hybrid,N/A
Honda,Mustang,,23193 USD,unknown,red,HYBRID,3 owners
Audi,Civic,'18,negotiable,326177 km,Blue,gasoline,N/A
B.M.W,Camry,NA,"$76,852",310950KM,BLUE,,3
Mustang,  ford  ,19,$81359,41333.1 miles,silver,DIESEL,N/A
Audi,Altima,2017.0,negotiable,49951KM,  silver  ,petrol,2.0
ford,Altima,2000,,unknown,White,electric,three
null,F 150,two thousand,34202 USD,143406,RED,  Electric  ,5th
  TOYOTA  ,camry,twenty twenty,"$77,356","115,136",,EV,-
nissan,f150,2015,38881 USD,,Green,EV,one
HONDA,f150,2002,14994.00,203994.0,silver,DIESEL,three
Ford,Silverado,2018.0,"$4,591",  NULL  ,gray,Diesel,two
B.M.W,3series,1998 model,negotiable,"293,292",#N/A,petrol,three
toyota,Altima,2004,64k,279776.0,RED,DIESEL,4th
  ford  ,3series,,$54970,,RED,  EV  ,3rd
chevy,Elantra,'17,6k,unknown,null,diesel,
TOYOTA,Sentra,1991.0,  69095.00  ,,Green,Unknown,N/A
Toyota,mustang,1998 model,20218.0,unknown,Gray,petrol,3rd
Volkswagen,Sentra,  1995  ,90198.0,"297,087",,Gas,4.0
null,civic,#N/A,N/A,unknown,n/a,Petrol,1.0
TOYOTA,Golf,'24,,217204KM,gray,Unknown,  N/A  
Hyundai,camry,1997 model,64k,28520,unknown,gasoline,N/A
Toyota,  Camry  ,  19  ,negotiable,  270710KM  ,Green,electric,5
BMW,Elantra,2002.0,90148 USD,unknown,Black,N/A,n/a
B.M.W,Golf,twenty ten,,4694,BLUE,,three
Hyundai,  3 Series  ,,91085.0,"8,529",white,Hybrid,3
Audi,Corolla,98,50867,304861KM,null,plug-in hybrid,two
Audi,Sentra,twenty twenty,,168095.0,green,n/a,4.0
Toyota,Camry,94,n/a,155970 km,red,HYBRID,4th
Nissan,mustang,two thousand,89441,"71,005",black,Petrol,  three  
chevy,  3series  ,24,19263,2261.0,RED,plug-in hybrid,
B.M.W,Corolla,2002,65197,346279,null,electric,4.0
bmw,Golf,1992.0,-,156379KM,BLUE,Electric,
volkswagen,3 Series,,$65349,125248KM,#N/A,Gas,
Nissan,camry,two thousand,NA,1411KM,  red  ,Electric,1 owner
volkswagen,silverado,twenty twenty,91717,"146,119",?,Petrol,4.0
Volkswagen,camry,2017,65882 USD,"22,319",Green,,4
NULL,volkswagen,1993 model,$46945,85463 km,NA,diesel,
ford,  Civic  ,,60168 USD,,  black  ,Hybrid,N/A
volkswagen,mustang,1991,19005.00,null,gray,,
Toyota,Civic,1992 model,79642,"  62,005  ",BLUE,petrol,2 owners
3 Series,Hyundai,2021 model,40702 USD,"346,861",Silver,DIESEL,3
Nissan,3series,null,  negotiable  ,313061.0,,EV,
TOYOTA,3 Series,2022 model,49863,14246 km,RED,-,2.0
chevy,Civic,1996 model,negotiable,167706 km,Gray,petrol,
Honda,silverado,2019,n/a,178218.1 miles,,EV,N/A
ford,Civic,15,N/A,84418.9 miles,red,Gas,5th
Toyota,Altima,96,34946.00,-,RED,hybrid,
Chevrolet,Elantra,1994,,288942KM,  white  ,Gasoline,one
VW,Camry,18,,108703,,EV,1 owner
Volkswagen,F 150,2017,,"220,330",blue,EV,5
bmw,F-150,,30519.0,307796KM,#N/A,plug-in hybrid,n/a
Audi,Mustang,twenty twenty,$15294,,Blue,Gas,5 owners
BMW,Accord,,62436.0,"264,249",gray,PETROL,-
Audi,Sentra,'24,negotiable,205214KM,Red,  electric  ,
  nissan  ,Accord,2012.0,N/A,235729.0,,Unknown,N/A
ford,mustang,1993.0,  -  ,37377 km,Grey,Hybrid,three
TOYOTA,Golf,1991.0,34k,"214,019",-,petrol,five
Audi,  A4  ,1998,37748.00,,blue,,3.0
Toyota,Accord,1992 model,20396 USD,344908KM,Grey,Petrol,2 owners
Hyundai,A4,2008.0,$71807,229001KM,Gray,-,5
B.M.W,F 150,2017 model,6080 USD,337025KM,silver,,null
TOYOTA,Golf,,  null  ,,black,gasoline,
VW,Altima,1993 model,negotiable,224611,Silver,DIESEL,N/A
  Hyundai  ,Silverado,  nineteen ninety five  ,48234.0,305757KM,RED,electric,4 owners
Ford,  Sentra  ,1991,"$84,842",unknown,RED,,5th
volkswagen,f150,2014 model,74519.0,unknown,  white  ,diesel,N/A
  Ford  ,F 150,2003 model,N/A,169295.0,Silver,electric,N/A
toyota,F-150,'99,31729.0,339831.0,Silver,petrol,2
HONDA,Mustang,,,unknown,black,Petrol,2 owners
Hyundai,civic,96,68721 USD,206308 km,green,  Diesel  ,1 owner
bmw,mustang,2008 model,NULL,$6720,Black,Hybrid,N/A
Ford,  civic  ,N/A,37842.0,156247.4 miles,SILVER,petrol,N/A
Audi,3series,'01,negotiable,#N/A,White,hybrid,
toyota,Corolla,'03,N/A,221971,green,diesel,4
Nissan,camry,'97,74035.00,201185 km,  white  ,plug-in hybrid,
volkswagen,Accord,,25k,175386KM,Silver,NULL,N/A
bmw,f150,,14162 USD,,Black,HYBRID,five
B.M.W,Corolla,2009,29k,-,NULL,electric,1.0
N/A,Altima,2002 model,34032.00,37802,silver,DIESEL,2.0
  Ford  ,Accord,1994,,unknown,#N/A,gasoline,  one  
TOYOTA,F-150,nineteen ninety five,35557.00,174062.2 miles,black,Diesel,N/A
Toyota,F 150,2006.0,"$78,500",268434,Grey,hybrid,N/A
Nissan,3series,,,"295,027",RED,DIESEL,4 owners
Nissan,Elantra,twenty ten,"$89,414",,Silver,Diesel,N/A
Chevrolet,Mustang,twenty ten,88422.00,150271,Grey,,3.0
  Volkswagen  ,Civic,,13584.00,,white,Petrol,four
Ford,mustang,15,N/A,310458KM,black,HYBRID,4th
Honda,Silverado,1995 model,  89k  ,57586.0,BLUE,hybrid,4
Audi,camry,95,negotiable,  unknown  ,white,DIESEL,3rd
Nissan,Camry,2008,77k,"343,121",N/A,PETROL,
HONDA,silverado,2006,,31412,-,electric,NULL
Toyota,f150,,$62808,2258KM,BLUE,Unknown,NA
TOYOTA,camry,,41539 USD,NA,#N/A,Hybrid,null
HONDA,  Corolla  ,1990 model,$20209,331872.0,silver,Electric,
Nissan,Civic,'13,  $49718  ,null,black,gasoline,two
BMW,Mustang,1992,,unknown,Gray,Gasoline,
BMW,F 150,1999.0,,  -  ,green,DIESEL,4 owners
Hyundai,  f150  ,,,278193KM,N/A,gasoline,1
Chevrolet,civic,,$12118,321527KM,Silver,gasoline,5 owners
B.M.W,  Golf  ,1997 model,negotiable,76498KM,  Blue  ,diesel,five
#N/A,camry,2009,,80334 km,Green,null,N/A
Toyota,Silverado,,,251087KM,SILVER,n/a,5 owners
ford,mustang,1997,N/A,,white,Hybrid,5 owners
N/A,civic,'95,44225.00,335563,green,gasoline,5 owners
  B.M.W  ,Altima,,55230,unknown,  unknown  ,Diesel,-
#N/A,3 Series,  2004  ,66147,316772,gray,PETROL,  N/A  
chevy,Civic,,32714.0,43434 km,SILVER,HYBRID,4 owners
nissan,Accord,1993,"$47,167",92691,,plug-in hybrid,4th
nissan,Civic,2011,  34253.0  ,,blue,Diesel,
Chevrolet,civic,24,76k,unknown,white,PETROL,2 owners
ford,camry,,N/A,"144,069",,Petrol,N/A
